2020 UM1,265.3,199.2,6.1,0.59,0.74,1.8,2.5,0.407,2.87,2.42,25.8
2013 TA81,272.6,64.5,4.3,0.24,1.71,2.25,2.5,0.292,2.79,3.38,19.2
2024 JZ11,50.9,169.5,6.7,0.16,2.44,2.92,2.5,0.198,3.4,4.99,18.3
2005 YG177,226.2,289.2,11.2,0.12,2.37,2.7,2.5,0.222,3.04,4.44,17.7
2021 US10,24,40.7,11.4,0.28,2.3,3.2,2.5,0.172,4.1,5.73,18.3
-150679,254.7,77,2.3,0.2,1.89,2.37,2.5,0.27,2.85,3.65,17.2
2023 ST70,320,71.8,8.1,0.29,2.14,3,2.5,0.189,3.87,5.2,18.2
-582882,315.2,250.5,6.1,0.16,2.14,2.55,2.5,0.243,2.95,4.06,18.4
-121490,231.7,190.1,3.5,0.08,2.55,2.78,2.5,0.212,3.02,4.64,15.8
2023 HG35,215.5,21.2,13.5,0.12,2.39,2.7,2.5,0.222,3.02,4.44,18.5
2012 SQ81,295.4,79.7,3.4,0.2,1.88,2.36,2.5,0.272,2.83,3.62,18.5
-673522,128.1,1,13.2,0.15,2.39,2.79,2.5,0.211,3.2,4.67,17.2
-166889,346.8,88.6,5.9,0.14,2.63,3.05,2.5,0.185,3.46,5.32,15
2006 DW194,254.3,322.1,1.6,0.15,1.98,2.31,2.5,0.28,2.65,3.52,19.3
2018 AA7,276.7,274.8,12.9,0.32,2.13,3.15,2.5,0.176,4.17,5.6,18.3
2008 CN234,269.7,125.2,8.4,0.21,2.13,2.7,2.5,0.223,3.26,4.43,17.9
2021 DL9,140.7,2.5,13.6,0.2,2.11,2.65,2.5,0.229,3.19,4.31,19.1
2005 HB,132.6,90.3,10,0.61,1.06,2.7,2.5,0.222,4.34,4.43,21.1
2024 CE20,59.2,120.7,10.3,0.1,2.73,3.03,2.5,0.187,3.33,5.27,17.5
2002 PV201,80,246.7,10.2,0.32,1.81,2.64,2.5,0.23,3.48,4.29,18.6
-686782,124.2,115,6.6,0.1,2.91,3.23,2.5,0.17,3.55,5.81,16.6
-693370,165.6,44.4,5.6,0.1,2.43,2.71,2.5,0.221,2.99,4.46,18
2015 KM412,216.7,48,15.6,0.21,2.18,2.75,2.5,0.216,3.33,4.57,19.5
-262268,44.4,224,1.6,0.06,2.25,2.4,2.5,0.265,2.55,3.71,17.9
-347744,210,298.6,8.8,0.05,2.98,3.13,2.5,0.178,3.27,5.53,15.7
2024 BQ19,338.3,172.4,14,0.2,2.11,2.63,2.5,0.231,3.15,4.26,19
2011 US92,358.5,24.8,3,0.21,2.18,2.76,2.5,0.215,3.34,4.58,19.1
2023 PK3,58.2,290.8,10,0.19,1.9,2.36,2.5,0.272,2.81,3.62,19.7
-212913,306.9,48.4,6.5,0.17,2.13,2.57,2.5,0.239,3.01,4.12,16.2
-641169,147.5,3.4,6.4,0.15,1.97,2.31,2.5,0.28,2.66,3.52,18.9
2019 NH31,253.6,143.7,2.8,0.2,1.86,2.32,2.5,0.279,2.78,3.53,18.6
-589295,68.9,355.4,4.8,0.01,5.25,5.29,2.5,0.081,5.33,12.17,14.6
2014 HO317,296.4,105.2,3.1,0.07,2.14,2.31,2.5,0.281,2.48,3.51,19.7
2017 FE13,292.3,158.2,22.8,0.08,1.78,1.94,2.5,0.366,2.09,2.69,18.2
